seed,thresh,param,trial,latent,predicted,stdev
18,0.0,theta,1,-0.661505,0.040636,0.470695
18,0.0,theta,2,0.009818,0.066185,0.440232
18,0.0,theta,3,-1.477717,-0.701216,0.444342
18,0.0,theta,4,-0.446158,-0.152222,0.443993
18,0.0,theta,5,-1.118111,0.113496,0.492505
18,0.0,theta,6,-0.059381,-0.607121,0.452198
18,0.0,theta,7,1.45095,0.89837,0.502848
18,0.0,theta,8,0.703386,1.69055,0.58396
18,0.0,theta,9,1.804801,1.270235,0.549632
18,0.0,theta,10,1.128541,0.622988,0.500602
18,0.0,theta,11,2.10656,2.20005,0.617555
18,0.0,theta,12,-2.020671,-0.66323,0.472784
18,0.0,theta,13,-0.605804,-0.77661,0.493319
18,0.0,theta,14,-0.488257,-0.795774,0.442656
18,0.0,theta,15,-1.330743,-0.410324,0.507167
18,0.0,theta,16,-0.625847,-1.00893,0.464365
18,0.0,theta,17,-0.148898,0.268795,0.485587
18,0.0,theta,18,-0.485681,-0.588116,0.457863
18,0.0,theta,19,1.005162,1.28061,0.556768
18,0.0,theta,20,-0.936749,-1.03751,0.508813
18,0.0,theta,21,-0.966379,-0.2074,0.471039
18,0.0,theta,22,-0.516823,-0.9489,0.480294
18,0.0,theta,23,1.756602,1.64949,0.561755
18,0.0,theta,24,1.032996,1.68237,0.596795
18,0.0,theta,25,-1.225537,-0.720415,0.477842
18,0.0,theta,26,-0.357223,-0.775774,0.469772
18,0.0,theta,27,-0.518676,-0.592626,0.430107
18,0.0,theta,28,0.821703,1.17229,0.544118
18,0.0,theta,29,-1.024481,-0.915113,0.478174
18,0.0,theta,30,-0.142695,0.5399,0.487073
18,0.0,theta,31,-0.645757,-0.987632,0.451752
18,0.0,theta,32,-0.187537,-0.462355,0.453761
18,0.0,theta,33,-0.369769,-0.361558,0.466732
18,0.0,theta,34,0.170577,-0.041931,0.476742
18,0.0,theta,35,-0.330068,-0.26231,0.463482
18,0.0,theta,36,-0.641868,0.279828,0.521952
18,0.0,theta,37,1.044848,0.590763,0.49839
18,0.0,theta,38,-1.569254,-0.932411,0.454833
18,0.0,theta,39,0.513684,0.643256,0.512204
18,0.0,theta,40,-0.547196,-0.69227,0.431922
18,0.0,theta,41,-0.481793,-0.319679,0.433782
18,0.0,theta,42,-1.745093,-1.21299,0.482817
18,0.0,theta,43,-0.696306,-0.250576,0.459245
18,0.0,theta,44,0.153593,-0.189825,0.477362
18,0.0,theta,45,0.016875,0.051875,0.497538
18,0.0,theta,46,0.565398,0.578948,0.525776
18,0.0,theta,47,1.065055,1.14542,0.558604
18,0.0,theta,48,1.615293,0.7139,0.516736
18,0.0,theta,49,-1.055498,-0.605852,0.494357
18,0.0,theta,50,-0.783215,-1.0226,0.456969
18,0.0,theta,51,-1.02707,-0.596648,0.413977
18,0.0,theta,52,0.617184,-0.085833,0.506589
18,0.0,theta,53,1.20066,1.29566,0.546503
18,0.0,theta,54,0.086254,-0.319724,0.480376
18,0.0,theta,55,1.070581,1.17477,0.573981
18,0.0,theta,56,2.06688,2.022645,0.590694
18,0.0,theta,57,-0.645995,-0.447966,0.484184
18,0.0,theta,58,-0.708699,-1.20084,0.433905
18,0.0,theta,59,-0.615535,-0.299766,0.462694
18,0.0,theta,60,0.189194,0.545516,0.501582
18,0.0,theta,61,1.497176,1.3389,0.575606
18,0.0,theta,62,-0.690772,-0.391508,0.47924
18,0.0,theta,63,1.426836,1.44046,0.538302
18,0.0,theta,64,-0.29263,-0.7915,0.458396
18,0.0,theta,65,-0.406193,-0.421236,0.447976
18,0.0,theta,66,-0.21347,0.089788,0.500731
18,0.0,theta,67,-1.439181,-1.38045,0.465361
18,0.0,theta,68,0.393612,0.044178,0.497958
18,0.0,theta,69,-0.346695,-0.279534,0.498343
18,0.0,theta,70,2.540574,2.93807,0.651016
18,0.0,theta,71,-0.234622,-0.417345,0.475443
18,0.0,theta,72,0.634356,0.709768,0.510916
18,0.0,theta,73,-0.229378,-0.001818,0.524317
18,0.0,theta,74,-0.800284,-0.208006,0.461405
18,0.0,theta,75,-0.255592,0.110853,0.462746
18,0.0,theta,76,1.885165,0.706927,0.515546
18,0.0,theta,77,0.167785,0.090098,0.482751
18,0.0,theta,78,-0.084324,0.94767,0.539835
18,0.0,theta,79,-0.610082,-0.656152,0.448256
18,0.0,theta,80,-1.182001,-1.678265,0.50066
18,0.0,theta,81,0.409345,0.407406,0.520699
18,0.0,theta,82,-0.601775,-0.298814,0.48359
18,0.0,theta,83,-1.462707,-1.42627,0.51424
18,0.0,theta,84,-0.715003,-1.682095,0.517515
18,0.0,theta,85,-2.064409,-1.05315,0.429242
18,0.0,theta,86,-0.762638,-0.304557,0.48067
18,0.0,theta,87,1.161683,1.060745,0.522234
18,0.0,theta,88,-1.334825,-0.702023,0.473691
18,0.0,theta,89,-1.634456,-1.842015,0.519686
18,0.0,theta,90,0.286302,-0.482332,0.514763
18,0.0,theta,91,1.97489,1.387505,0.559349
18,0.0,theta,92,-0.663111,-0.767434,0.473713
18,0.0,theta,93,0.977754,0.335507,0.45481
18,0.0,theta,94,0.091412,-0.129033,0.467583
18,0.0,theta,95,-0.257773,-0.497385,0.45412
18,0.0,theta,96,2.86071,1.95779,0.595277
18,0.0,theta,97,-1.227916,-0.759554,0.432285
18,0.0,theta,98,0.647789,0.756991,0.514744
18,0.0,theta,99,1.657124,1.196465,0.56915
18,0.0,theta,100,-0.324393,-0.000738,0.481234
18,0.0,theta,101,-0.309302,-0.041038,0.528375
18,0.0,theta,102,-0.339882,-0.705824,0.439963
18,0.0,theta,103,0.29606,1.009115,0.550044
18,0.0,theta,104,1.997925,1.816555,0.595866
18,0.0,theta,105,0.335611,-0.181284,0.490964
18,0.0,theta,106,0.017041,-0.623416,0.467575
18,0.0,theta,107,-0.778012,-0.668079,0.477341
18,0.0,theta,108,1.018069,0.898052,0.547862
18,0.0,theta,109,1.82557,0.960837,0.501813
18,0.0,theta,110,0.3556,0.23993,0.519617
18,0.0,theta,111,1.034583,1.023115,0.549137
18,0.0,theta,112,2.244749,1.935845,0.577418
18,0.0,theta,113,0.292006,0.9224,0.514541
18,0.0,theta,114,1.161716,1.354385,0.534776
18,0.0,theta,115,-0.682318,-0.39014,0.470035
18,0.0,theta,116,0.362012,0.384647,0.519175
18,0.0,theta,117,1.132737,0.891968,0.489629
