seed,thresh,param,trial,latent,predicted,stdev
93,0.0,theta,1,-1.199549,-1.030355,0.486651
93,0.0,theta,2,0.318549,-0.039962,0.478565
93,0.0,theta,3,-1.765833,-0.591243,0.469235
93,0.0,theta,4,0.611107,0.404356,0.504449
93,0.0,theta,5,-1.207443,-1.25803,0.45716
93,0.0,theta,6,0.306034,0.739597,0.511971
93,0.0,theta,7,0.030571,-0.320473,0.478149
93,0.0,theta,8,1.397877,1.19602,0.540594
93,0.0,theta,9,0.342766,0.363921,0.524155
93,0.0,theta,10,0.372637,0.171988,0.482706
93,0.0,theta,11,-0.510099,-0.707214,0.520323
93,0.0,theta,12,1.489308,2.0144,0.591404
93,0.0,theta,13,-0.130747,-0.074736,0.502341
93,0.0,theta,14,2.06329,0.853828,0.519027
93,0.0,theta,15,-0.066299,-0.98504,0.492554
93,0.0,theta,16,-0.144434,-0.215766,0.459045
93,0.0,theta,17,-0.501401,-0.066857,0.506307
93,0.0,theta,18,-0.249801,-0.385426,0.459247
93,0.0,theta,19,0.64737,0.549052,0.517525
93,0.0,theta,20,-0.119958,-0.464728,0.486113
93,0.0,theta,21,-1.637425,-1.566205,0.496941
93,0.0,theta,22,0.331817,-0.567328,0.500064
93,0.0,theta,23,-0.129612,-0.56327,0.469212
93,0.0,theta,24,-0.586541,-1.006155,0.523587
93,0.0,theta,25,1.181552,0.902541,0.537747
93,0.0,theta,26,0.162602,-0.292561,0.468171
93,0.0,theta,27,1.095313,0.498148,0.516353
93,0.0,theta,28,-1.015461,-1.0643,0.477826
93,0.0,theta,29,-0.862108,-0.875742,0.42978
93,0.0,theta,30,-1.668713,-1.07024,0.512696
93,0.0,theta,31,0.90591,1.0378,0.54528
93,0.0,theta,32,0.475499,0.356596,0.453424
93,0.0,theta,33,-0.472895,-0.70585,0.469844
93,0.0,theta,34,-0.729011,-1.52337,0.484809
93,0.0,theta,35,-0.937164,-0.520488,0.451759
93,0.0,theta,36,-0.86226,-1.44978,0.462715
93,0.0,theta,37,1.273621,1.28601,0.536332
93,0.0,theta,38,0.29939,1.066915,0.531071
93,0.0,theta,39,-1.68561,-1.33262,0.49642
93,0.0,theta,40,-1.82461,-1.224885,0.456381
93,0.0,theta,41,-2.154552,-1.400475,0.4881
93,0.0,theta,42,-0.480124,-1.058895,0.477672
93,0.0,theta,43,-0.494915,-0.635693,0.509864
93,0.0,theta,44,0.744038,0.67349,0.523453
93,0.0,theta,45,0.878929,0.731936,0.559699
93,0.0,theta,46,-0.684207,-0.344494,0.471696
93,0.0,theta,47,-0.825175,-0.40381,0.514186
93,0.0,theta,48,-0.576467,-0.749651,0.527251
93,0.0,theta,49,-0.450118,0.058684,0.504579
93,0.0,theta,50,0.231009,0.100498,0.492892
93,0.0,theta,51,-0.339055,-0.210668,0.48685
93,0.0,theta,52,-1.288462,-0.688628,0.447971
93,0.0,theta,53,-0.611005,-0.614404,0.438315
93,0.0,theta,54,1.088207,-0.097659,0.481296
93,0.0,theta,55,0.224473,0.23602,0.47482
93,0.0,theta,56,0.502853,-0.171949,0.518457
93,0.0,theta,57,-0.920362,-0.978984,0.504276
93,0.0,theta,58,-0.026352,0.322408,0.494477
93,0.0,theta,59,-0.872991,-0.785214,0.489182
93,0.0,theta,60,1.132272,1.54909,0.552401
93,0.0,theta,61,1.282748,0.53405,0.504443
93,0.0,theta,62,0.006456,0.68851,0.512828
93,0.0,theta,63,0.028739,-0.312205,0.474986
93,0.0,theta,64,0.420638,-0.599159,0.452338
93,0.0,theta,65,1.86735,1.345855,0.544264
93,0.0,theta,66,-0.191798,-0.612828,0.497388
93,0.0,theta,67,-0.50513,-0.275252,0.513213
93,0.0,theta,68,0.124292,-0.513747,0.477555
93,0.0,theta,69,1.058809,1.04948,0.57006
93,0.0,theta,70,0.297242,-0.396404,0.458326
