seed,thresh,param,trial,latent,predicted,stdev
78,0.0,theta,1,0.563473,0.19297,0.561151
78,0.0,theta,2,0.530392,0.638316,0.525582
78,0.0,theta,3,1.018882,1.61496,0.613066
78,0.0,theta,4,0.674329,0.701699,0.551993
78,0.0,theta,5,0.103445,-0.33227,0.493551
78,0.0,theta,6,0.04409,-0.069126,0.492932
78,0.0,theta,7,1.181914,0.751388,0.541624
78,0.0,theta,8,0.649128,0.802779,0.553602
78,0.0,theta,9,0.209753,0.257996,0.563245
78,0.0,theta,10,-1.888008,-1.705135,0.530766
78,0.0,theta,11,-1.255718,-0.43305,0.47109
78,0.0,theta,12,-0.29966,0.253029,0.510867
78,0.0,theta,13,-0.70679,-0.606902,0.499427
78,0.0,theta,14,-0.376755,0.088049,0.532347
78,0.0,theta,15,0.101446,0.197865,0.519051
78,0.0,theta,16,-0.801335,-1.132715,0.499855
78,0.0,theta,17,1.01324,0.741517,0.549382
78,0.0,theta,18,-0.790988,-0.457892,0.518736
78,0.0,theta,19,-2.223177,-1.005855,0.512738
78,0.0,theta,20,0.615846,0.231208,0.524607
78,0.0,theta,21,0.566326,0.389061,0.55089
78,0.0,theta,22,-0.401805,-0.417085,0.507619
78,0.0,theta,23,-0.453916,-0.437806,0.496291
78,0.0,theta,24,-0.015394,-0.644758,0.480287
78,0.0,theta,25,-0.086028,-0.758374,0.496787
78,0.0,theta,26,0.674304,0.044331,0.514886
78,0.0,theta,27,-0.62393,-0.22651,0.534653
78,0.0,theta,28,1.423197,0.967577,0.561459
78,0.0,theta,29,-1.172788,0.100498,0.533878
78,0.0,theta,30,-1.290043,-0.998752,0.530508
78,0.0,theta,31,0.748391,1.536925,0.571064
78,0.0,theta,32,1.270954,0.073636,0.502121
78,0.0,theta,33,-1.321116,-0.51939,0.518311
78,0.0,theta,34,0.920725,-0.149942,0.465058
78,0.0,theta,35,1.57351,0.881527,0.54087
78,0.0,theta,36,0.111761,-0.533336,0.487757
78,0.0,theta,37,1.831345,0.943962,0.535384
78,0.0,theta,38,-0.052508,-0.700306,0.495809
78,0.0,theta,39,-1.182117,-0.360168,0.465816
78,0.0,theta,40,-1.387932,-2.0473,0.555515
78,0.0,theta,41,-0.096921,-0.531739,0.498463
78,0.0,theta,42,0.895128,1.146565,0.596913
78,0.0,theta,43,-0.087246,-0.033369,0.50297
78,0.0,theta,44,-0.556861,-0.323141,0.532739
78,0.0,theta,45,-0.160678,-0.061399,0.511424
78,0.0,theta,46,-0.380278,-1.0832,0.508117
78,0.0,theta,47,-0.319014,0.014273,0.531885
78,0.0,theta,48,-1.300779,-0.469206,0.476403
78,0.0,theta,49,-0.743058,-1.053305,0.475404
78,0.0,theta,50,0.895116,0.443392,0.556619
78,0.0,theta,51,-2.116211,-1.14572,0.491498
78,0.0,theta,52,1.951054,1.328455,0.567897
78,0.0,theta,53,-0.583823,-1.036935,0.48652
78,0.0,theta,54,-0.336147,-0.853362,0.482619
78,0.0,theta,55,0.06096,-0.888648,0.52788
78,0.0,theta,56,1.236221,1.25432,0.556586
78,0.0,theta,57,0.02078,0.52982,0.530706
78,0.0,theta,58,-0.058588,1.095525,0.552134
78,0.0,theta,59,-2.038515,-1.837055,0.543716
78,0.0,theta,60,-0.538441,0.257745,0.531094
78,0.0,theta,61,1.033413,0.832756,0.548365
78,0.0,theta,62,0.267984,-0.053064,0.524261
78,0.0,theta,63,0.410422,1.05473,0.538748
78,0.0,theta,64,-2.494081,-0.972783,0.510983
78,0.0,theta,65,0.838054,0.494202,0.522068
78,0.0,theta,66,-1.593162,-0.228117,0.502329
78,0.0,theta,67,0.107783,-0.639755,0.497905
78,0.0,theta,68,-0.798275,-0.631388,0.547463
78,0.0,theta,69,0.402101,-0.061452,0.520412
78,0.0,theta,70,-0.475593,0.493166,0.527818
78,0.0,theta,71,-1.597702,-0.890336,0.496401
78,0.0,theta,72,-1.566334,-1.473035,0.512574
78,0.0,theta,73,-0.613101,-0.68553,0.502063
78,0.0,theta,74,-0.337938,0.081563,0.550611
78,0.0,theta,75,1.062214,0.31488,0.497743
78,0.0,theta,76,-0.226174,-0.591376,0.563229
78,0.0,theta,77,-0.023179,-0.024817,0.535458
78,0.0,theta,78,1.034876,1.74073,0.592145
78,0.0,theta,79,2.381766,1.858655,0.595871
78,0.0,theta,80,-0.573774,-0.50026,0.528323
78,0.0,theta,81,-1.872401,-1.056815,0.504955
78,0.0,theta,82,0.391694,0.35967,0.544483
78,0.0,theta,83,-1.968531,-1.07914,0.483559
78,0.0,theta,84,-0.599239,-0.708404,0.550624
78,0.0,theta,85,-0.230861,0.170334,0.503117
78,0.0,theta,86,-2.130305,-1.419785,0.540428
78,0.0,theta,87,-0.204313,0.903504,0.537672
78,0.0,theta,88,1.732324,2.122685,0.614565
78,0.0,theta,89,-1.03161,-0.8063,0.50601
78,0.0,theta,90,-0.388963,-0.478288,0.524414
78,0.0,theta,91,1.182895,0.491728,0.515147
78,0.0,theta,92,1.116613,1.11029,0.52985
78,0.0,theta,93,-0.108562,0.031486,0.500616
78,0.0,theta,94,-0.381698,-0.585522,0.53539
78,0.0,theta,95,-0.350061,-0.649732,0.512814
78,0.0,theta,96,0.728168,1.046795,0.54869
78,0.0,theta,97,-0.898758,-1.07351,0.477856
78,0.0,theta,98,0.250979,0.463807,0.543035
78,0.0,theta,99,-0.014924,-0.246345,0.526808
78,0.0,theta,100,-0.055873,-0.143498,0.516512
78,0.0,theta,101,1.680704,1.4386,0.549728
78,0.0,theta,102,-1.199797,-0.814512,0.530105
78,0.0,theta,103,-1.231326,-1.01991,0.475307
78,0.0,theta,104,-0.7134,-0.37475,0.529651
78,0.0,theta,105,0.753643,0.459203,0.538976
78,0.0,theta,106,0.83901,0.830296,0.575962
78,0.0,theta,107,-1.608909,-0.710809,0.518063
78,0.0,theta,108,-0.805796,-0.509289,0.559058
78,0.0,theta,109,-0.21162,-0.484448,0.539761
78,0.0,theta,110,-0.276814,-0.279627,0.523685
78,0.0,theta,111,0.291155,0.11335,0.549088
78,0.0,theta,112,1.118274,1.13891,0.547296
78,0.0,theta,113,0.731064,0.601445,0.52335
78,0.0,theta,114,-0.866767,-0.922294,0.53699
78,0.0,theta,115,2.500457,1.68794,0.596149
78,0.0,theta,116,1.011148,0.730085,0.517476
78,0.0,theta,117,1.818973,1.441555,0.580148
78,0.0,theta,118,0.74964,0.382589,0.517237
78,0.0,theta,119,1.389584,0.836812,0.575326
78,0.0,theta,120,-1.285482,-0.559639,0.463042
78,0.0,theta,121,0.051368,-0.294706,0.507464
78,0.0,theta,122,0.804449,0.110154,0.504218
78,0.0,theta,123,0.60066,0.456911,0.547728
78,0.0,theta,124,0.625292,0.980988,0.570749
78,0.0,theta,125,-1.370978,-1.218205,0.510152
78,0.0,theta,126,-0.221243,-0.19037,0.522582
78,0.0,theta,127,-1.78148,-1.82624,0.524129
78,0.0,theta,128,-0.811538,0.289564,0.51232
78,0.0,theta,129,1.049008,0.677838,0.54611
78,0.0,theta,130,1.687727,0.543505,0.548432
78,0.0,theta,131,0.957578,1.02827,0.591043
78,0.0,theta,132,-1.414473,-0.692912,0.524007
78,0.0,theta,133,-0.944878,-0.328936,0.507706
78,0.0,theta,134,-1.224361,-0.967964,0.525334
78,0.0,theta,135,-1.210847,-0.806741,0.485121
78,0.0,theta,136,0.712377,-0.065709,0.521751
78,0.0,theta,137,-0.261542,-0.030574,0.509987
78,0.0,theta,138,0.727988,0.94487,0.547459
78,0.0,theta,139,0.315984,-0.289778,0.519792
78,0.0,theta,140,0.9854,0.455621,0.560188
78,0.0,theta,141,0.454301,0.583198,0.544686
78,0.0,theta,142,0.895922,0.101946,0.507491
78,0.0,theta,143,-0.41892,-0.966598,0.48379
78,0.0,theta,144,-1.530791,-1.265725,0.509364
78,0.0,theta,145,-2.327482,-0.65226,0.503404
78,0.0,theta,146,-0.281754,-0.37661,0.534334
78,0.0,theta,147,-0.412399,-0.401405,0.525736
78,0.0,theta,148,-0.335892,-0.235096,0.487371
78,0.0,theta,149,0.196954,0.047553,0.52037
78,0.0,theta,150,0.100238,0.060532,0.524611
78,0.0,theta,151,0.779731,-0.181824,0.512782
78,0.0,theta,152,1.615971,0.896742,0.551266
78,0.0,theta,153,1.656735,0.724184,0.5437
78,0.0,theta,154,-0.66374,-0.645368,0.489763
78,0.0,theta,155,0.470525,0.447691,0.519424
78,0.0,theta,156,1.900419,0.992976,0.551497
78,0.0,theta,157,-3.503446,-1.729975,0.500964
78,0.0,theta,158,0.254622,0.884574,0.533513
78,0.0,theta,159,0.603203,-1.215975,0.493012
78,0.0,theta,160,0.233944,-0.371492,0.533135
78,0.0,theta,161,-0.550748,-0.442211,0.515374
78,0.0,theta,162,-0.199511,0.413929,0.50915
78,0.0,theta,163,0.992498,0.018391,0.550414
78,0.0,theta,164,-0.666597,-1.032715,0.503098
78,0.0,theta,165,-0.342545,0.147531,0.501817
78,0.0,theta,166,1.433598,0.895297,0.54488
78,0.0,theta,167,-0.015618,-0.473434,0.499341
78,0.0,theta,168,0.44173,0.387204,0.546901
78,0.0,theta,169,-0.365907,-0.504482,0.477345
78,0.0,theta,170,0.246947,-0.351327,0.521323
78,0.0,theta,171,-2.412228,-2.581015,0.562684
78,0.0,theta,172,-0.990644,-0.428065,0.532234
78,0.0,theta,173,-1.167574,-0.956923,0.514145
78,0.0,theta,174,0.96859,0.775563,0.57564
78,0.0,theta,175,-1.071482,-0.724088,0.517172
78,0.0,theta,176,1.959503,1.175845,0.595337
78,0.0,theta,177,-0.185143,-0.167881,0.469328
