subject,trial,item,dimension,test_form,distractor,choice,accuracy,y_hat,y_pred,pwaic_u,pwaic_c,louo,loco,k_u,k_c
01b653iwjusnxf359qk7596t,1,22,2,1,pd,0.0,1.0,0.8563,0.8543150652211625,0.00750366758734898,0.13909052996961757,-0.16497781958402769,-8.555914949080162,0.15296491203376256,0.19993083670264877
01b653iwjusnxf359qk7596t,2,28,2,2,md,0.0,1.0,0.6086,0.6117442825655286,0.045123355343358144,0.13909052996961757,-0.5367906551170378,-8.555914949080162,0.16672185254386668,0.19993083670264877
01b653iwjusnxf359qk7596t,3,70,2,2,md,0.0,1.0,0.862,0.8634050927614829,0.006716001190729182,0.13909052996961757,-0.15360334670716647,-8.555914949080162,0.04929532880750844,0.19993083670264877
01b653iwjusnxf359qk7596t,4,51,2,1,pd,0.0,1.0,0.8274,0.8238041026469515,0.010566377898993817,0.13909052996961757,-0.2044215411546002,-8.555914949080162,0.06032357281244524,0.19993083670264877
01b653iwjusnxf359qk7596t,5,11,3,1,pd,3.0,0.0,0.685,0.3134309240152674,0.13713616184053226,0.13909052996961757,-1.2979334289721738,-8.555914949080162,0.1840386811879437,0.19993083670264877
01b653iwjusnxf359qk7596t,6,31,3,2,md,1.0,0.0,0.532,0.47216668746922913,0.08436051479107107,0.13909052996961757,-0.8352569680555249,-8.555914949080162,0.11442005180179031,0.19993083670264877
01b653iwjusnxf359qk7596t,7,17,4,2,md,2.0,0.0,0.443,0.5665584575892452,0.056897733698237835,0.13909052996961757,-0.6254264799908444,-8.555914949080162,0.11660997256879357,0.19993083670264877
01b653iwjusnxf359qk7596t,8,62,3,1,pd,0.0,1.0,0.9432,0.9399394101201415,0.0016274209979729051,0.13909052996961757,-0.06356889334786331,-8.555914949080162,0.16128555982751847,0.19993083670264877
01b653iwjusnxf359qk7596t,9,42,4,1,pd,1.0,0.0,0.5393,0.46179104523508724,0.08561488267910866,0.13909052996961757,-0.8587357091876449,-8.555914949080162,0.10205054352286029,0.19993083670264877
01b653iwjusnxf359qk7596t,10,60,4,2,md,0.0,1.0,0.405,0.40925886574388354,0.10287794307981923,0.13909052996961757,-0.9968498084917332,-8.555914949080162,0.04572368632408172,0.19993083670264877
01b653iwjusnxf359qk7596t,11,52,5,1,pd,0.0,1.0,0.5004,0.5007370852881526,0.07055031347650761,0.13909052996961757,-0.7625403934069652,-8.555914949080162,0.043627509803073256,0.19993083670264877
01b653iwjusnxf359qk7596t,12,63,5,2,md,3.0,0.0,0.2179,0.7807652962062455,0.015492359240432284,0.13909052996961757,-0.2630240539957356,-8.555914949080162,-0.03514413757714495,0.19993083670264877
01b653iwjusnxf359qk7596t,13,46,6,1,pd,0.0,1.0,0.5862,0.5789576245312483,0.05260987335237445,0.13909052996961757,-0.5994172936911735,-8.555914949080162,0.07301313273910183,0.19993083670264877
01b653iwjusnxf359qk7596t,14,54,6,2,md,3.0,0.0,0.2154,0.7775174465210647,0.016318306518138776,0.13909052996961757,-0.2680357055286642,-8.555914949080162,0.10703855627282624,0.19993083670264877
01b653iwjusnxf359qk7596t,15,78,7,2,md,3.0,0.0,0.3802,0.6176390589053904,0.04482479402190804,0.13909052996961757,-0.5269559744891925,-8.555914949080162,0.18107357180474232,0.19993083670264877
01b653iwjusnxf359qk7596t,16,30,7,1,pd,0.0,1.0,0.7326,0.7348364144921424,0.0218885124796907,0.13909052996961757,-0.33007201934399966,-8.555914949080162,0.1192766973592301,0.19993083670264877
0374obg53yvd969wid8t8a71,1,25,2,2,pd,0.0,1.0,0.9627,0.9636115037608673,0.0006064492335625597,0.15513137212482192,-0.037673708244081894,-7.918297910750805,0.1745362994764268,0.1654812432775209
0374obg53yvd969wid8t8a71,2,22,2,1,md,0.0,1.0,0.8596,0.859241086342501,0.0075634555540795715,0.15513137212482192,-0.15928313723169119,-7.918297910750805,0.055433346562742014,0.1654812432775209
0374obg53yvd969wid8t8a71,3,71,2,2,pd,0.0,1.0,0.9269,0.927721729381231,0.0021023000504174164,0.15513137212482192,-0.07712728034131544,-7.918297910750805,0.03129864340877078,0.1654812432775209
0374obg53yvd969wid8t8a71,4,49,2,1,md,0.0,1.0,0.9359,0.9397941238008669,0.0015752789505960824,0.15513137212482192,-0.06367076811705452,-7.918297910750805,-0.022982092932901224,0.1654812432775209
0374obg53yvd969wid8t8a71,6,34,3,2,pd,0.0,1.0,0.8475,0.8474365779698454,0.008938753937621937,0.15513137212482192,-0.17449447433828524,-7.918297910750805,0.02364866208321132,0.1654812432775209
0374obg53yvd969wid8t8a71,7,77,3,2,pd,2.0,0.0,0.9251,0.07244367894523196,0.32695628119516834,0.15513137212482192,-2.9532620474667635,-7.918297910750805,0.2166250864742379,0.1654812432775209
0374obg53yvd969wid8t8a71,8,58,3,1,md,0.0,1.0,0.8303,0.827317269040175,0.011161571702822896,0.15513137212482192,-0.20075148839537782,-7.918297910750805,0.05478598426509091,0.1654812432775209
0374obg53yvd969wid8t8a71,9,79,4,2,pd,0.0,1.0,0.8169,0.8202613133265797,0.012251731173806868,0.15513137212482192,-0.21041364254755202,-7.918297910750805,0.028431029521401877,0.1654812432775209
0374obg53yvd969wid8t8a71,10,40,4,1,md,0.0,1.0,0.7105,0.7140675285075883,0.029500002048101742,0.15513137212482192,-0.36636616428537216,-7.918297910750805,-0.0044914578737235145,0.1654812432775209
0374obg53yvd969wid8t8a71,11,14,5,1,md,0.0,1.0,0.6591,0.6665800139664969,0.03998434471498525,0.15513137212482192,-0.4457217097861008,-7.918297910750805,0.1308851602712956,0.1654812432775209
0374obg53yvd969wid8t8a71,12,63,5,2,pd,0.0,1.0,0.7244,0.72596904434866,0.026967312969059753,0.15513137212482192,-0.3472828580948555,-7.918297910750805,-0.07056964818522737,0.1654812432775209
0374obg53yvd969wid8t8a71,13,54,6,2,pd,0.0,1.0,0.762,0.7621971187838162,0.020443583754062227,0.15513137212482192,-0.2920467073569899,-7.918297910750805,-0.0058724290493811886,0.1654812432775209
0374obg53yvd969wid8t8a71,14,44,6,1,md,0.0,1.0,0.474,0.4764106321493774,0.09829670507917693,0.15513137212482192,-0.8400875398859515,-7.918297910750805,0.12764729164232846,0.1654812432775209
0374obg53yvd969wid8t8a71,15,35,8,2,pd,0.0,1.0,0.7957,0.7979014685899579,0.015434010250587469,0.15513137212482192,-0.24124822614981944,-7.918297910750805,0.04255749490252029,0.1654812432775209
