subject	item	accuracy	Y_hat	Y_pred	WAIC
686755	28	1	0.73825	0.7372518884601168	-0.3197198720252398
686755	29	1	0.64325	0.6442374497365213	-0.4677449145971338
686755	27	0	0.58425	0.4116192025775088	-0.9516181201397649
686755	30	1	0.8285	0.8313301595672385	-0.19176952790582732
686755	31	1	0.593	0.5949094992841767	-0.5578043420809085
686755	32	0	0.73375	0.271674860733521	-1.4517686060078465
686755	24	0	0.332	0.6603585501811317	-0.440738862111394
686755	25	1	0.8425	0.8416827021260187	-0.1767380766818036
686755	26	0	0.3405	0.6603533040103903	-0.4399263475241765
686755	40	0	0.57275	0.4192022504104933	-0.9550263405234906
686755	19	1	0.64	0.6468135858794771	-0.45612346869313325
686755	14	0	0.38575	0.6071366232229926	-0.5243915418517968
686755	15	1	0.517	0.5163486307758239	-0.7044952796676962
686755	33	1	0.666	0.6570289244205301	-0.4431072228283207
686755	34	1	0.41975	0.428324653762193	-0.905235940460688
686755	18	0	0.36325	0.6242303614065499	-0.49219439425299943
686755	16	1	0.827	0.8325173763359134	-0.18660779327415566
686755	22	0	0.80875	0.1867778513333123	-1.8412692421614894
686755	23	1	0.667	0.6616881583903845	-0.4346036243704898
686755	13	1	0.42125	0.44497526556809636	-0.8688767000988308
686755	20	1	0.678	0.6850264711069055	-0.3993249517791741
686755	21	1	0.44825	0.45208907971444773	-0.8294734560265782
686755	38	1	0.908	0.9071274543009511	-0.1015087710079918
686755	39	0	0.64625	0.348612394503647	-1.148957804120603
686755	8	1	0.839	0.8464828566895101	-0.17294303338143557
686755	10	1	0.558	0.5576606704480027	-0.6191259370532636
686755	11	0	0.5425	0.4706633639567312	-0.7900027764335271
686755	12	0	0.373	0.6164325863968335	-0.5096048042475839
686755	17	1	0.54525	0.5448602877787716	-0.6375851726644783
686755	37	1	0.5545	0.551854767598301	-0.6400675105505814
686755	4	1	0.99425	0.9964228379203376	-0.003624117381156185
686755	9	1	0.9475	0.9385968440879313	-0.06420816642151732
686755	6	1	0.65275	0.6594583186670219	-0.4316091939888573
686755	1	1	0.977	0.976820600159189	-0.023715970167677923
686755	7	1	0.9695	0.9682576449839998	-0.0326493069514561
686755	3	1	0.95875	0.9594439714861254	-0.04196516357076343
686755	2	1	0.96775	0.9681980583596302	-0.03272418696000891
686755	5	1	0.98725	0.9867261447990026	-0.013510434088923561
686755	36	0	0.4405	0.5562310867471906	-0.6130910413784442
686755	35	0	0.521	0.4712767540280829	-0.8121878337483638
686897	8	1	0.80975	0.815428101276316	-0.21272483570048972
686897	7	1	0.96225	0.9637045265425468	-0.037456674892907604
686897	29	1	0.57525	0.5910809385662319	-0.5626822996683838
686897	30	1	0.79325	0.7990670016146066	-0.23398993026505507
686897	31	1	0.5375	0.539588403046896	-0.6657171515320524
686897	32	1	0.68675	0.6796601941451531	-0.41320550243524884
686897	1	1	0.976	0.9741233160339492	-0.026538298603437014
686897	2	1	0.96075	0.9639097513664477	-0.03727316039609657
686897	6	1	0.62675	0.6238036889615166	-0.49033878329346636
686897	15	0	0.4625	0.5344863016737942	-0.6660165482839204
686897	16	1	0.8155	0.8159202010066513	-0.2073295001907217
686897	12	0	0.337	0.6618061265191068	-0.43257555172315615
686897	24	0	0.30275	0.7071553083872628	-0.3654225416968857
686897	25	1	0.827	0.8173659456389194	-0.20742057346994905
686897	26	0	0.285	0.7072062174110884	-0.3653926737492948
686897	27	0	0.55175	0.46068190632588063	-0.8258687874219749
686897	28	0	0.69775	0.30834351020014744	-1.2837504884809277
686897	4	1	0.997	0.9959334375516113	-0.004123730601184539
686897	39	1	0.6065	0.6050701603066891	-0.5364692496988217
686897	37	0	0.5145	0.5008300296638832	-0.7475636097272915
686897	3	1	0.954	0.953326936342789	-0.04857407100534764
686897	38	1	0.88125	0.8849379180322867	-0.1280331435384283
686897	5	1	0.98625	0.9850423051859334	-0.01526148927023488
